年份,策略收益,基准收益,超额,年化波动,Sharpe,最大回撤
2011,-0.22002583507796886,-0.27702499222319477,0.05699915714522591,0.19029486767032025,-2.599768710136858,-0.18341345165767753
2012,0.008420542703125977,0.07517101782440638,-0.0667504751212804,0.1821451328712122,-0.052592441784581126,-0.19731067927583956
2013,-0.08694031265542972,-0.053278439741871964,-0.03366187291355775,0.10109788665984477,-1.038006986323198,-0.0978453466511513
2014,0.02802392079152643,0.42451521262207526,-0.3964912918305488,0.10502599911426769,0.09544227977893799,-0.12929334767470568
2015,0.018000000000000002,0.17003016135852667,-0.15203016135852665,3.9472854438975175e-19,8.789450373591201,0.0
2016,0.01834615384615385,-0.12829248991383446,0.1466386437599883,3.9465554789455714e-19,8.791076092716098,0.0
2017,0.018000000000000002,0.201535069418615,-0.18353506941861497,3.9472854438975175e-19,8.789450373591201,0.0
2018,0.018000000000000002,-0.2668732049971446,0.28487320499714464,3.9472854438975175e-19,8.789450373591201,0.0
2019,-0.006865543131799379,0.3061812313953557,-0.31304677452715507,0.13548341900121946,-0.18353200203469597,-0.1328084630724593
2020,0.2679042342753691,0.2485637850797937,0.01934044919557537,0.25587394363394034,0.97666933461927,-0.1505856159235165
2021,0.003187421384748257,-0.003118386491125613,0.00630580787587387,0.20092629213342375,-0.07402076892705978,-0.1944149268051667
2022,-0.2311501807697428,-0.22896956640519694,-0.002180614364545863,0.1881461747042212,-1.324237291358297,-0.2717498955785569
2023,-0.1079531041084415,-0.11169400842313026,0.0037409043146887644,0.15897990759351857,-0.7922580030080257,-0.21989607802934907
2024,0.19627884440465249,0.17406234812064492,0.02221649628400757,0.318956092731468,0.5589447841485412,-0.14210624372973635
2025,0.16938466591329981,0.16521826809899476,0.004166397814305056,0.14879421830376152,1.0174095985655165,-0.08591617254964368
2026,0.013320733438454968,0.033130802521718294,-0.019810069083263326,0.12729985510346917,0.0853228710105298,-0.0678852746008618
